,custAge,profession,marital,schooling,default,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,pastEmail,p_last_mon
176,"(40.8, 48.4]",admin.,divorced,university.degree,no,yes,yes,telephone,may,tue,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(0.9200000000000004, 1.4]","(93.74060000000001, 93.9972]","(-36.46, -34.07]","(4.603899999999999, 5.045]","(5175.200000000001, 5201.650000000001]","(-0.025, 2.5]",False
186,"(40.8, 48.4]",technician,married,university.degree,no,no,no,cellular,aug,thu,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(0.9200000000000004, 1.4]","(93.2274, 93.48400000000001]","(-36.46, -34.07]","(4.603899999999999, 5.045]","(5201.650000000001, 5228.1]","(-0.025, 2.5]",False
190,"(25.6, 33.2]",admin.,single,high.school,no,yes,no,cellular,mar,tue,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(-1.96, -1.48]","(92.7142, 92.97080000000001]","(-50.823899999999995, -48.41]","(1.5162, 1.9572999999999996]","(5095.85, 5122.3]","(-0.025, 2.5]",False
196,"(17.924, 25.6]",technician,married,professional.course,no,yes,no,telephone,jun,wed,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(0.9200000000000004, 1.4]","(94.25380000000001, 94.5104]","(-43.629999999999995, -41.239999999999995]","(4.603899999999999, 5.045]","(5201.650000000001, 5228.1]","(-0.025, 2.5]",False
201,"(25.6, 33.2]",management,divorced,Basic,no,yes,no,cellular,jul,tue,"(4.9, 8.8]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(0.9200000000000004, 1.4]","(93.74060000000001, 93.9972]","(-43.629999999999995, -41.239999999999995]","(4.603899999999999, 5.045]","(5201.650000000001, 5228.1]","(-0.025, 2.5]",False
202,"(40.8, 48.4]",technician,married,professional.course,no,no,yes,cellular,nov,mon,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(-0.52, -0.040000000000000036]","(92.97080000000001, 93.2274]","(-43.629999999999995, -41.239999999999995]","(4.1628, 4.603899999999999]","(5175.200000000001, 5201.650000000001]","(-0.025, 2.5]",False
204,"(33.2, 40.8]",blue-collar,divorced,Basic,no,no,no,cellular,nov,fri,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(-0.52, -0.040000000000000036]","(92.97080000000001, 93.2274]","(-43.629999999999995, -41.239999999999995]","(3.7216999999999993, 4.1628]","(5175.200000000001, 5201.650000000001]","(-0.025, 2.5]",False
206,"(25.6, 33.2]",technician,single,high.school,no,no,no,cellular,aug,mon,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(0.9200000000000004, 1.4]","(93.2274, 93.48400000000001]","(-36.46, -34.07]","(4.603899999999999, 5.045]","(5201.650000000001, 5228.1]","(-0.025, 2.5]",False
209,"(33.2, 40.8]",services,married,high.school,no,yes,no,cellular,nov,tue,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(-0.52, -0.040000000000000036]","(92.97080000000001, 93.2274]","(-43.629999999999995, -41.239999999999995]","(3.7216999999999993, 4.1628]","(5175.200000000001, 5201.650000000001]","(-0.025, 2.5]",False
211,"(17.924, 25.6]",student,single,high.school,no,no,no,cellular,apr,thu,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(-1.96, -1.48]","(92.97080000000001, 93.2274]","(-48.41, -46.019999999999996]","(1.0751, 1.5162]","(5095.85, 5122.3]","(-0.025, 2.5]",False
216,"(33.2, 40.8]",management,married,university.degree,no,yes,no,telephone,may,fri,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(0.9200000000000004, 1.4]","(93.74060000000001, 93.9972]","(-36.46, -34.07]","(4.603899999999999, 5.045]","(5175.200000000001, 5201.650000000001]","(-0.025, 2.5]",False
218,"(48.4, 56.0]",housemaid,married,Basic,no,yes,no,cellular,may,mon,"(0.961, 4.9]","(28.8, 32.0]","(0.5, 1.0]",failure,"(-1.96, -1.48]","(92.7142, 92.97080000000001]","(-48.41, -46.019999999999996]","(1.0751, 1.5162]","(5095.85, 5122.3]","(-0.025, 2.5]",False
219,"(25.6, 33.2]",admin.,divorced,high.school,no,no,yes,telephone,may,fri,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(0.9200000000000004, 1.4]","(93.74060000000001, 93.9972]","(-36.46, -34.07]","(4.603899999999999, 5.045]","(5175.200000000001, 5201.650000000001]","(-0.025, 2.5]",False
223,"(48.4, 56.0]",admin.,married,high.school,no,yes,no,cellular,aug,mon,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(0.9200000000000004, 1.4]","(93.2274, 93.48400000000001]","(-36.46, -34.07]","(4.603899999999999, 5.045]","(5201.650000000001, 5228.1]","(-0.025, 2.5]",False
224,"(33.2, 40.8]",admin.,single,university.degree,no,no,yes,cellular,apr,wed,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(-1.96, -1.48]","(92.97080000000001, 93.2274]","(-48.41, -46.019999999999996]","(1.0751, 1.5162]","(5095.85, 5122.3]","(-0.025, 2.5]",False
228,"(40.8, 48.4]",technician,single,high.school,no,yes,no,telephone,jun,wed,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(0.9200000000000004, 1.4]","(94.25380000000001, 94.5104]","(-43.629999999999995, -41.239999999999995]","(4.603899999999999, 5.045]","(5201.650000000001, 5228.1]","(-0.025, 2.5]",False
229,"(33.2, 40.8]",management,married,university.degree,no,yes,no,cellular,aug,wed,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(0.9200000000000004, 1.4]","(93.2274, 93.48400000000001]","(-36.46, -34.07]","(4.603899999999999, 5.045]","(5201.650000000001, 5228.1]","(-0.025, 2.5]",False
230,"(25.6, 33.2]",technician,divorced,professional.course,no,yes,no,telephone,may,thu,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(0.9200000000000004, 1.4]","(93.74060000000001, 93.9972]","(-36.46, -34.07]","(4.603899999999999, 5.045]","(5175.200000000001, 5201.650000000001]","(-0.025, 2.5]",False
236,"(40.8, 48.4]",blue-collar,married,Basic,no,no,yes,cellular,may,tue,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(-1.96, -1.48]","(92.7142, 92.97080000000001]","(-48.41, -46.019999999999996]","(1.0751, 1.5162]","(5095.85, 5122.3]","(-0.025, 2.5]",False
237,"(33.2, 40.8]",technician,married,professional.course,no,yes,no,cellular,aug,mon,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(0.9200000000000004, 1.4]","(93.2274, 93.48400000000001]","(-36.46, -34.07]","(4.603899999999999, 5.045]","(5201.650000000001, 5228.1]","(-0.025, 2.5]",False
238,"(40.8, 48.4]",services,divorced,high.school,no,yes,yes,cellular,apr,mon,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(-1.96, -1.48]","(92.97080000000001, 93.2274]","(-48.41, -46.019999999999996]","(1.0751, 1.5162]","(5095.85, 5122.3]","(-0.025, 2.5]",False
240,"(17.924, 25.6]",student,single,high.school,no,yes,no,cellular,may,wed,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(-1.96, -1.48]","(92.7142, 92.97080000000001]","(-48.41, -46.019999999999996]","(1.0751, 1.5162]","(5095.85, 5122.3]","(-0.025, 2.5]",False
242,"(48.4, 56.0]",management,married,university.degree,no,yes,no,cellular,apr,thu,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(-1.96, -1.48]","(92.97080000000001, 93.2274]","(-48.41, -46.019999999999996]","(1.0751, 1.5162]","(5095.85, 5122.3]","(-0.025, 2.5]",False
243,"(25.6, 33.2]",unemployed,married,university.degree,no,no,no,cellular,aug,wed,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(0.9200000000000004, 1.4]","(93.2274, 93.48400000000001]","(-36.46, -34.07]","(4.603899999999999, 5.045]","(5201.650000000001, 5228.1]","(-0.025, 2.5]",False
244,"(25.6, 33.2]",blue-collar,single,professional.course,no,yes,no,telephone,may,mon,"(4.9, 8.8]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(0.9200000000000004, 1.4]","(93.74060000000001, 93.9972]","(-36.46, -34.07]","(4.603899999999999, 5.045]","(5175.200000000001, 5201.650000000001]","(-0.025, 2.5]",False
245,"(56.0, 63.599999999999994]",self-employed,married,Basic,no,no,no,cellular,aug,tue,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(0.9200000000000004, 1.4]","(93.2274, 93.48400000000001]","(-36.46, -34.07]","(4.603899999999999, 5.045]","(5201.650000000001, 5228.1]","(-0.025, 2.5]",False
246,"(56.0, 63.599999999999994]",management,divorced,university.degree,no,yes,no,telephone,may,thu,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(0.9200000000000004, 1.4]","(93.74060000000001, 93.9972]","(-36.46, -34.07]","(4.603899999999999, 5.045]","(5175.200000000001, 5201.650000000001]","(-0.025, 2.5]",False
248,"(25.6, 33.2]",admin.,divorced,high.school,no,yes,yes,telephone,jun,tue,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(0.9200000000000004, 1.4]","(94.25380000000001, 94.5104]","(-43.629999999999995, -41.239999999999995]","(4.603899999999999, 5.045]","(5201.650000000001, 5228.1]","(-0.025, 2.5]",False
250,"(48.4, 56.0]",retired,married,professional.course,no,no,no,telephone,may,mon,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(0.9200000000000004, 1.4]","(93.74060000000001, 93.9972]","(-36.46, -34.07]","(4.603899999999999, 5.045]","(5175.200000000001, 5201.650000000001]","(-0.025, 2.5]",False
254,"(25.6, 33.2]",services,married,high.school,no,no,no,cellular,may,tue,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(-1.96, -1.48]","(92.7142, 92.97080000000001]","(-48.41, -46.019999999999996]","(1.0751, 1.5162]","(5095.85, 5122.3]","(-0.025, 2.5]",False
255,"(25.6, 33.2]",entrepreneur,single,university.degree,no,yes,no,cellular,nov,tue,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(-0.52, -0.040000000000000036]","(92.97080000000001, 93.2274]","(-43.629999999999995, -41.239999999999995]","(3.7216999999999993, 4.1628]","(5175.200000000001, 5201.650000000001]","(-0.025, 2.5]",False
257,"(40.8, 48.4]",admin.,single,university.degree,no,no,no,cellular,jul,mon,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(0.9200000000000004, 1.4]","(93.74060000000001, 93.9972]","(-43.629999999999995, -41.239999999999995]","(4.603899999999999, 5.045]","(5201.650000000001, 5228.1]","(-0.025, 2.5]",False
260,"(40.8, 48.4]",technician,married,university.degree,no,no,yes,cellular,nov,thu,"(4.9, 8.8]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(-0.52, -0.040000000000000036]","(92.97080000000001, 93.2274]","(-43.629999999999995, -41.239999999999995]","(3.7216999999999993, 4.1628]","(5175.200000000001, 5201.650000000001]","(-0.025, 2.5]",False
263,"(56.0, 63.599999999999994]",technician,divorced,university.degree,no,no,no,cellular,may,thu,"(0.961, 4.9]","(28.8, 32.0]","(0.5, 1.0]",failure,"(-1.96, -1.48]","(92.7142, 92.97080000000001]","(-48.41, -46.019999999999996]","(1.0751, 1.5162]","(5095.85, 5122.3]","(-0.025, 2.5]",False
270,"(40.8, 48.4]",technician,married,professional.course,no,no,no,cellular,aug,mon,"(4.9, 8.8]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(0.9200000000000004, 1.4]","(93.2274, 93.48400000000001]","(-36.46, -34.07]","(4.603899999999999, 5.045]","(5201.650000000001, 5228.1]","(-0.025, 2.5]",False
272,"(40.8, 48.4]",blue-collar,married,Basic,no,yes,no,cellular,jul,mon,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(0.9200000000000004, 1.4]","(93.74060000000001, 93.9972]","(-43.629999999999995, -41.239999999999995]","(4.603899999999999, 5.045]","(5201.650000000001, 5228.1]","(-0.025, 2.5]",False
274,"(40.8, 48.4]",entrepreneur,married,Basic,no,yes,no,cellular,nov,tue,"(0.961, 4.9]","(28.8, 32.0]","(0.5, 1.0]",failure,"(-0.52, -0.040000000000000036]","(92.97080000000001, 93.2274]","(-43.629999999999995, -41.239999999999995]","(3.7216999999999993, 4.1628]","(5175.200000000001, 5201.650000000001]","(-0.025, 2.5]",False
275,"(33.2, 40.8]",services,married,high.school,no,yes,yes,telephone,jun,thu,"(4.9, 8.8]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(0.9200000000000004, 1.4]","(94.25380000000001, 94.5104]","(-43.629999999999995, -41.239999999999995]","(4.603899999999999, 5.045]","(5201.650000000001, 5228.1]","(-0.025, 2.5]",False
276,"(48.4, 56.0]",blue-collar,married,Basic,no,yes,no,telephone,may,thu,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(0.9200000000000004, 1.4]","(93.74060000000001, 93.9972]","(-36.46, -34.07]","(4.603899999999999, 5.045]","(5175.200000000001, 5201.650000000001]","(-0.025, 2.5]",False
278,"(25.6, 33.2]",admin.,married,university.degree,no,no,no,cellular,aug,thu,"(4.9, 8.8]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(-2.92, -2.44]","(92.198434, 92.45760000000001]","(-31.68, -29.29]","(0.629589, 1.0751]","(5069.400000000001, 5095.85]","(-0.025, 2.5]",False
284,"(33.2, 40.8]",admin.,married,high.school,no,yes,no,cellular,aug,thu,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(0.9200000000000004, 1.4]","(93.2274, 93.48400000000001]","(-36.46, -34.07]","(4.603899999999999, 5.045]","(5201.650000000001, 5228.1]","(-0.025, 2.5]",False
285,"(33.2, 40.8]",admin.,married,Basic,no,yes,yes,cellular,jul,thu,"(4.9, 8.8]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(0.9200000000000004, 1.4]","(93.74060000000001, 93.9972]","(-43.629999999999995, -41.239999999999995]","(4.603899999999999, 5.045]","(5201.650000000001, 5228.1]","(-0.025, 2.5]",False
287,"(25.6, 33.2]",admin.,single,university.degree,no,yes,no,cellular,jun,mon,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(-2.92, -2.44]","(92.7142, 92.97080000000001]","(-41.239999999999995, -38.849999999999994]","(1.0751, 1.5162]","(5069.400000000001, 5095.85]","(-0.025, 2.5]",False
288,"(25.6, 33.2]",blue-collar,married,Basic,no,no,no,cellular,may,thu,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(-1.96, -1.48]","(92.7142, 92.97080000000001]","(-48.41, -46.019999999999996]","(1.0751, 1.5162]","(5095.85, 5122.3]","(-0.025, 2.5]",False
289,"(25.6, 33.2]",admin.,married,university.degree,no,no,no,cellular,aug,mon,"(8.8, 12.7]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(0.9200000000000004, 1.4]","(93.2274, 93.48400000000001]","(-36.46, -34.07]","(4.603899999999999, 5.045]","(5201.650000000001, 5228.1]","(-0.025, 2.5]",False
294,"(25.6, 33.2]",admin.,single,university.degree,no,yes,no,cellular,apr,thu,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(-1.96, -1.48]","(92.97080000000001, 93.2274]","(-48.41, -46.019999999999996]","(1.0751, 1.5162]","(5095.85, 5122.3]","(-0.025, 2.5]",False
301,"(25.6, 33.2]",admin.,married,university.degree,no,no,no,cellular,may,wed,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(-1.96, -1.48]","(92.7142, 92.97080000000001]","(-48.41, -46.019999999999996]","(1.0751, 1.5162]","(5095.85, 5122.3]","(-0.025, 2.5]",False
313,"(25.6, 33.2]",housemaid,married,professional.course,no,yes,no,cellular,aug,mon,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(0.9200000000000004, 1.4]","(93.2274, 93.48400000000001]","(-36.46, -34.07]","(4.603899999999999, 5.045]","(5201.650000000001, 5228.1]","(-0.025, 2.5]",False
324,"(33.2, 40.8]",technician,married,professional.course,no,no,no,cellular,aug,mon,"(4.9, 8.8]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(0.9200000000000004, 1.4]","(93.2274, 93.48400000000001]","(-36.46, -34.07]","(4.603899999999999, 5.045]","(5201.650000000001, 5228.1]","(-0.025, 2.5]",False
331,"(40.8, 48.4]",technician,married,high.school,no,yes,no,cellular,sep,thu,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(-3.4048, -2.92]","(92.198434, 92.45760000000001]","(-31.68, -29.29]","(0.629589, 1.0751]","(5016.5, 5042.950000000001]","(-0.025, 2.5]",False
333,"(40.8, 48.4]",blue-collar,married,Basic,no,yes,no,telephone,sep,thu,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(-1.48, -1.0]","(93.9972, 94.25380000000001]","(-38.849999999999994, -36.46]","(0.629589, 1.0751]","(4963.3355, 4990.05]","(-0.025, 2.5]",False
335,"(25.6, 33.2]",blue-collar,married,Basic,no,yes,yes,telephone,jun,wed,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(0.9200000000000004, 1.4]","(94.25380000000001, 94.5104]","(-43.629999999999995, -41.239999999999995]","(4.603899999999999, 5.045]","(5201.650000000001, 5228.1]","(-0.025, 2.5]",False
341,"(40.8, 48.4]",admin.,married,high.school,no,no,no,cellular,apr,fri,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(-1.96, -1.48]","(92.97080000000001, 93.2274]","(-48.41, -46.019999999999996]","(1.0751, 1.5162]","(5095.85, 5122.3]","(-0.025, 2.5]",False
351,"(25.6, 33.2]",services,single,high.school,no,yes,no,cellular,jul,wed,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(0.9200000000000004, 1.4]","(93.74060000000001, 93.9972]","(-43.629999999999995, -41.239999999999995]","(4.603899999999999, 5.045]","(5201.650000000001, 5228.1]","(-0.025, 2.5]",False
352,"(25.6, 33.2]",technician,single,professional.course,no,no,no,telephone,oct,mon,"(0.961, 4.9]","(12.8, 16.0]","(0.5, 1.0]",success,"(-1.48, -1.0]","(94.5104, 94.76700000000001]","(-50.823899999999995, -48.41]","(0.629589, 1.0751]","(4963.3355, 4990.05]","(-0.025, 2.5]",True
353,"(40.8, 48.4]",admin.,married,professional.course,no,yes,no,cellular,apr,mon,"(0.961, 4.9]","(6.4, 9.600000000000001]","(0.5, 1.0]",success,"(-1.96, -1.48]","(93.74060000000001, 93.9972]","(-36.46, -34.07]","(0.629589, 1.0751]","(4990.05, 5016.5]","(-0.025, 2.5]",True
355,"(33.2, 40.8]",blue-collar,divorced,Basic,no,yes,no,telephone,jun,wed,"(4.9, 8.8]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(0.9200000000000004, 1.4]","(94.25380000000001, 94.5104]","(-43.629999999999995, -41.239999999999995]","(4.603899999999999, 5.045]","(5201.650000000001, 5228.1]","(-0.025, 2.5]",False
356,"(25.6, 33.2]",services,single,high.school,no,no,no,telephone,jun,wed,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(0.9200000000000004, 1.4]","(94.25380000000001, 94.5104]","(-43.629999999999995, -41.239999999999995]","(4.603899999999999, 5.045]","(5201.650000000001, 5228.1]","(-0.025, 2.5]",False
363,"(25.6, 33.2]",blue-collar,married,Basic,no,yes,no,telephone,may,fri,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(-1.96, -1.48]","(92.7142, 92.97080000000001]","(-48.41, -46.019999999999996]","(1.0751, 1.5162]","(5095.85, 5122.3]","(-0.025, 2.5]",False
364,"(40.8, 48.4]",blue-collar,married,Basic,no,no,no,telephone,may,wed,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(0.9200000000000004, 1.4]","(93.74060000000001, 93.9972]","(-36.46, -34.07]","(4.603899999999999, 5.045]","(5175.200000000001, 5201.650000000001]","(-0.025, 2.5]",False
368,"(25.6, 33.2]",blue-collar,married,Basic,no,no,no,cellular,jul,tue,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(0.9200000000000004, 1.4]","(93.74060000000001, 93.9972]","(-43.629999999999995, -41.239999999999995]","(4.603899999999999, 5.045]","(5201.650000000001, 5228.1]","(-0.025, 2.5]",False
371,"(33.2, 40.8]",management,single,university.degree,no,yes,yes,cellular,nov,wed,"(0.961, 4.9]","(28.8, 32.0]","(0.5, 1.0]",failure,"(-0.52, -0.040000000000000036]","(92.97080000000001, 93.2274]","(-43.629999999999995, -41.239999999999995]","(3.7216999999999993, 4.1628]","(5175.200000000001, 5201.650000000001]","(-0.025, 2.5]",False
373,"(56.0, 63.599999999999994]",management,single,university.degree,no,yes,no,cellular,may,fri,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(-1.96, -1.48]","(92.7142, 92.97080000000001]","(-48.41, -46.019999999999996]","(1.0751, 1.5162]","(5095.85, 5122.3]","(-0.025, 2.5]",False
375,"(33.2, 40.8]",management,married,university.degree,no,no,no,cellular,aug,wed,"(4.9, 8.8]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(0.9200000000000004, 1.4]","(93.2274, 93.48400000000001]","(-36.46, -34.07]","(4.603899999999999, 5.045]","(5201.650000000001, 5228.1]","(-0.025, 2.5]",False
377,"(63.599999999999994, 71.19999999999999]",unemployed,single,Basic,no,yes,no,cellular,apr,thu,"(8.8, 12.7]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(-1.96, -1.48]","(92.97080000000001, 93.2274]","(-48.41, -46.019999999999996]","(1.0751, 1.5162]","(5095.85, 5122.3]","(-0.025, 2.5]",False
389,"(25.6, 33.2]",admin.,married,university.degree,no,no,no,telephone,jul,thu,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(0.9200000000000004, 1.4]","(93.74060000000001, 93.9972]","(-43.629999999999995, -41.239999999999995]","(4.603899999999999, 5.045]","(5201.650000000001, 5228.1]","(-0.025, 2.5]",False
393,"(33.2, 40.8]",technician,married,university.degree,no,yes,yes,cellular,aug,fri,"(4.9, 8.8]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(0.9200000000000004, 1.4]","(93.2274, 93.48400000000001]","(-36.46, -34.07]","(4.603899999999999, 5.045]","(5201.650000000001, 5228.1]","(-0.025, 2.5]",False
397,"(48.4, 56.0]",self-employed,married,university.degree,no,yes,yes,telephone,aug,thu,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(0.9200000000000004, 1.4]","(93.2274, 93.48400000000001]","(-36.46, -34.07]","(4.603899999999999, 5.045]","(5201.650000000001, 5228.1]","(-0.025, 2.5]",False
399,"(17.924, 25.6]",admin.,single,high.school,no,yes,no,cellular,may,fri,"(0.961, 4.9]","(28.8, 32.0]","(0.5, 1.0]",failure,"(-1.96, -1.48]","(92.7142, 92.97080000000001]","(-48.41, -46.019999999999996]","(1.0751, 1.5162]","(5095.85, 5122.3]","(-0.025, 2.5]",False
402,"(25.6, 33.2]",technician,single,Basic,no,yes,no,cellular,jul,thu,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(0.9200000000000004, 1.4]","(93.74060000000001, 93.9972]","(-43.629999999999995, -41.239999999999995]","(4.603899999999999, 5.045]","(5201.650000000001, 5228.1]","(-0.025, 2.5]",False
403,"(25.6, 33.2]",technician,married,professional.course,no,yes,no,cellular,apr,wed,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(-1.96, -1.48]","(92.97080000000001, 93.2274]","(-48.41, -46.019999999999996]","(1.0751, 1.5162]","(5095.85, 5122.3]","(-0.025, 2.5]",False
