,custAge,profession,marital,schooling,default,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,pastEmail,p_last_mon
408,"(25.6, 33.2]",admin.,single,professional.course,no,no,no,telephone,jun,thu,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(0.9200000000000004, 1.4]","(94.25380000000001, 94.5104]","(-43.629999999999995, -41.239999999999995]","(4.603899999999999, 5.045]","(5201.650000000001, 5228.1]","(-0.025, 2.5]",False
411,"(25.6, 33.2]",technician,single,professional.course,no,yes,no,cellular,aug,wed,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(0.9200000000000004, 1.4]","(93.2274, 93.48400000000001]","(-36.46, -34.07]","(4.603899999999999, 5.045]","(5201.650000000001, 5228.1]","(-0.025, 2.5]",False
414,"(33.2, 40.8]",services,married,high.school,no,yes,yes,cellular,may,tue,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(-1.96, -1.48]","(92.7142, 92.97080000000001]","(-48.41, -46.019999999999996]","(1.0751, 1.5162]","(5095.85, 5122.3]","(-0.025, 2.5]",False
415,"(40.8, 48.4]",blue-collar,married,Basic,no,no,no,cellular,may,tue,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(-1.96, -1.48]","(92.7142, 92.97080000000001]","(-48.41, -46.019999999999996]","(1.0751, 1.5162]","(5095.85, 5122.3]","(-0.025, 2.5]",False
419,"(25.6, 33.2]",unemployed,married,high.school,no,no,no,telephone,mar,fri,"(0.961, 4.9]","(3.2, 6.4]","(0.5, 1.0]",success,"(-1.96, -1.48]","(93.2274, 93.48400000000001]","(-36.46, -34.07]","(0.629589, 1.0751]","(4990.05, 5016.5]","(-0.025, 2.5]",True
421,"(33.2, 40.8]",blue-collar,single,high.school,no,yes,no,cellular,may,mon,"(4.9, 8.8]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(-1.96, -1.48]","(92.7142, 92.97080000000001]","(-48.41, -46.019999999999996]","(1.0751, 1.5162]","(5095.85, 5122.3]","(-0.025, 2.5]",False
429,"(25.6, 33.2]",admin.,single,high.school,no,yes,no,cellular,may,wed,"(0.961, 4.9]","(28.8, 32.0]","(0.5, 1.0]",failure,"(-1.96, -1.48]","(92.7142, 92.97080000000001]","(-48.41, -46.019999999999996]","(1.0751, 1.5162]","(5095.85, 5122.3]","(-0.025, 2.5]",False
430,"(33.2, 40.8]",blue-collar,married,high.school,no,no,no,telephone,jun,fri,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(0.9200000000000004, 1.4]","(94.25380000000001, 94.5104]","(-43.629999999999995, -41.239999999999995]","(4.603899999999999, 5.045]","(5201.650000000001, 5228.1]","(-0.025, 2.5]",False
431,"(33.2, 40.8]",blue-collar,married,Basic,no,no,no,telephone,may,wed,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(0.9200000000000004, 1.4]","(93.74060000000001, 93.9972]","(-36.46, -34.07]","(4.603899999999999, 5.045]","(5175.200000000001, 5201.650000000001]","(-0.025, 2.5]",False
432,"(25.6, 33.2]",technician,single,professional.course,no,yes,no,cellular,aug,tue,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(0.9200000000000004, 1.4]","(93.2274, 93.48400000000001]","(-36.46, -34.07]","(4.603899999999999, 5.045]","(5201.650000000001, 5228.1]","(-0.025, 2.5]",False
434,"(56.0, 63.599999999999994]",technician,divorced,professional.course,no,yes,no,cellular,nov,mon,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(-0.52, -0.040000000000000036]","(92.97080000000001, 93.2274]","(-43.629999999999995, -41.239999999999995]","(4.1628, 4.603899999999999]","(5175.200000000001, 5201.650000000001]","(-0.025, 2.5]",False
436,"(40.8, 48.4]",technician,single,professional.course,no,yes,yes,telephone,may,tue,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(0.9200000000000004, 1.4]","(93.74060000000001, 93.9972]","(-36.46, -34.07]","(4.603899999999999, 5.045]","(5175.200000000001, 5201.650000000001]","(-0.025, 2.5]",False
437,"(40.8, 48.4]",admin.,married,Basic,no,yes,no,cellular,apr,fri,"(0.961, 4.9]","(28.8, 32.0]","(1.5, 2.0]",failure,"(-1.96, -1.48]","(92.97080000000001, 93.2274]","(-48.41, -46.019999999999996]","(1.0751, 1.5162]","(5095.85, 5122.3]","(10.0, 12.5]",False
440,"(40.8, 48.4]",admin.,married,university.degree,no,no,no,cellular,jul,wed,"(4.9, 8.8]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(0.9200000000000004, 1.4]","(93.74060000000001, 93.9972]","(-43.629999999999995, -41.239999999999995]","(4.603899999999999, 5.045]","(5201.650000000001, 5228.1]","(-0.025, 2.5]",False
441,"(25.6, 33.2]",admin.,married,high.school,no,yes,no,cellular,may,wed,"(0.961, 4.9]","(28.8, 32.0]","(0.5, 1.0]",failure,"(-1.96, -1.48]","(92.7142, 92.97080000000001]","(-48.41, -46.019999999999996]","(1.0751, 1.5162]","(5095.85, 5122.3]","(-0.025, 2.5]",False
444,"(25.6, 33.2]",admin.,single,university.degree,no,yes,no,telephone,jul,thu,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(0.9200000000000004, 1.4]","(93.74060000000001, 93.9972]","(-43.629999999999995, -41.239999999999995]","(4.603899999999999, 5.045]","(5201.650000000001, 5228.1]","(-0.025, 2.5]",False
448,"(25.6, 33.2]",self-employed,single,university.degree,no,no,no,cellular,apr,thu,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(-1.96, -1.48]","(93.74060000000001, 93.9972]","(-36.46, -34.07]","(0.629589, 1.0751]","(4990.05, 5016.5]","(-0.025, 2.5]",False
451,"(40.8, 48.4]",blue-collar,married,Basic,no,yes,no,telephone,may,tue,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(0.9200000000000004, 1.4]","(93.74060000000001, 93.9972]","(-36.46, -34.07]","(4.603899999999999, 5.045]","(5175.200000000001, 5201.650000000001]","(-0.025, 2.5]",False
455,"(48.4, 56.0]",retired,married,professional.course,no,no,no,cellular,jul,fri,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(0.9200000000000004, 1.4]","(93.74060000000001, 93.9972]","(-43.629999999999995, -41.239999999999995]","(4.603899999999999, 5.045]","(5201.650000000001, 5228.1]","(-0.025, 2.5]",False
460,"(33.2, 40.8]",admin.,single,university.degree,no,no,no,cellular,nov,mon,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(-0.52, -0.040000000000000036]","(92.97080000000001, 93.2274]","(-43.629999999999995, -41.239999999999995]","(4.1628, 4.603899999999999]","(5175.200000000001, 5201.650000000001]","(-0.025, 2.5]",False
461,"(40.8, 48.4]",services,divorced,Basic,no,no,no,cellular,jul,tue,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(0.9200000000000004, 1.4]","(93.74060000000001, 93.9972]","(-43.629999999999995, -41.239999999999995]","(4.603899999999999, 5.045]","(5201.650000000001, 5228.1]","(-0.025, 2.5]",False
462,"(40.8, 48.4]",management,married,high.school,no,no,no,telephone,jun,wed,"(8.8, 12.7]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(0.9200000000000004, 1.4]","(94.25380000000001, 94.5104]","(-43.629999999999995, -41.239999999999995]","(4.603899999999999, 5.045]","(5201.650000000001, 5228.1]","(-0.025, 2.5]",False
464,"(25.6, 33.2]",unemployed,married,high.school,no,yes,no,cellular,jul,fri,"(4.9, 8.8]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(-1.96, -1.48]","(93.9972, 94.25380000000001]","(-41.239999999999995, -38.849999999999994]","(0.629589, 1.0751]","(4990.05, 5016.5]","(-0.025, 2.5]",False
465,"(25.6, 33.2]",admin.,single,high.school,no,no,no,cellular,apr,thu,"(0.961, 4.9]","(28.8, 32.0]","(0.5, 1.0]",failure,"(-1.96, -1.48]","(92.97080000000001, 93.2274]","(-48.41, -46.019999999999996]","(1.0751, 1.5162]","(5095.85, 5122.3]","(-0.025, 2.5]",False
466,"(25.6, 33.2]",technician,married,university.degree,no,yes,yes,cellular,aug,wed,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(0.9200000000000004, 1.4]","(93.2274, 93.48400000000001]","(-36.46, -34.07]","(4.603899999999999, 5.045]","(5201.650000000001, 5228.1]","(-0.025, 2.5]",False
468,"(25.6, 33.2]",technician,married,professional.course,no,yes,no,telephone,may,thu,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(0.9200000000000004, 1.4]","(93.74060000000001, 93.9972]","(-36.46, -34.07]","(4.603899999999999, 5.045]","(5175.200000000001, 5201.650000000001]","(-0.025, 2.5]",False
471,"(33.2, 40.8]",blue-collar,married,Basic,no,yes,no,cellular,may,tue,"(0.961, 4.9]","(28.8, 32.0]","(0.5, 1.0]",failure,"(-1.96, -1.48]","(92.7142, 92.97080000000001]","(-48.41, -46.019999999999996]","(1.0751, 1.5162]","(5095.85, 5122.3]","(2.5, 5.0]",False
473,"(25.6, 33.2]",services,married,high.school,no,yes,no,cellular,apr,thu,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(-1.96, -1.48]","(92.97080000000001, 93.2274]","(-48.41, -46.019999999999996]","(1.0751, 1.5162]","(5095.85, 5122.3]","(-0.025, 2.5]",False
475,"(48.4, 56.0]",technician,married,professional.course,no,yes,yes,telephone,may,mon,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(0.9200000000000004, 1.4]","(93.74060000000001, 93.9972]","(-36.46, -34.07]","(4.603899999999999, 5.045]","(5175.200000000001, 5201.650000000001]","(-0.025, 2.5]",False
477,"(33.2, 40.8]",admin.,divorced,university.degree,no,yes,no,cellular,apr,wed,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(-1.96, -1.48]","(92.97080000000001, 93.2274]","(-48.41, -46.019999999999996]","(1.0751, 1.5162]","(5095.85, 5122.3]","(-0.025, 2.5]",False
478,"(25.6, 33.2]",admin.,married,university.degree,no,yes,no,cellular,apr,thu,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(-1.96, -1.48]","(92.97080000000001, 93.2274]","(-48.41, -46.019999999999996]","(1.0751, 1.5162]","(5095.85, 5122.3]","(-0.025, 2.5]",False
482,"(33.2, 40.8]",technician,single,professional.course,no,yes,no,cellular,may,thu,"(0.961, 4.9]","(28.8, 32.0]","(0.5, 1.0]",failure,"(-1.96, -1.48]","(92.7142, 92.97080000000001]","(-48.41, -46.019999999999996]","(1.0751, 1.5162]","(5095.85, 5122.3]","(-0.025, 2.5]",False
483,"(25.6, 33.2]",blue-collar,married,Basic,no,yes,no,telephone,jun,wed,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(0.9200000000000004, 1.4]","(94.25380000000001, 94.5104]","(-43.629999999999995, -41.239999999999995]","(4.603899999999999, 5.045]","(5201.650000000001, 5228.1]","(-0.025, 2.5]",False
485,"(48.4, 56.0]",blue-collar,married,Basic,no,no,no,cellular,aug,tue,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(0.9200000000000004, 1.4]","(93.2274, 93.48400000000001]","(-36.46, -34.07]","(4.603899999999999, 5.045]","(5201.650000000001, 5228.1]","(-0.025, 2.5]",False
486,"(40.8, 48.4]",technician,divorced,university.degree,no,yes,no,cellular,nov,thu,"(0.961, 4.9]","(28.8, 32.0]","(0.5, 1.0]",failure,"(-0.52, -0.040000000000000036]","(92.97080000000001, 93.2274]","(-43.629999999999995, -41.239999999999995]","(3.7216999999999993, 4.1628]","(5175.200000000001, 5201.650000000001]","(2.5, 5.0]",False
491,"(25.6, 33.2]",admin.,married,professional.course,no,yes,no,cellular,may,fri,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(-1.96, -1.48]","(92.7142, 92.97080000000001]","(-48.41, -46.019999999999996]","(1.0751, 1.5162]","(5095.85, 5122.3]","(-0.025, 2.5]",False
493,"(40.8, 48.4]",technician,married,university.degree,no,yes,no,cellular,aug,tue,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(0.9200000000000004, 1.4]","(93.2274, 93.48400000000001]","(-36.46, -34.07]","(4.603899999999999, 5.045]","(5201.650000000001, 5228.1]","(-0.025, 2.5]",False
495,"(78.8, 86.39999999999999]",retired,married,Basic,no,yes,no,cellular,apr,thu,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(-1.96, -1.48]","(92.97080000000001, 93.2274]","(-48.41, -46.019999999999996]","(1.0751, 1.5162]","(5095.85, 5122.3]","(-0.025, 2.5]",False
498,"(33.2, 40.8]",management,married,university.degree,no,no,no,cellular,nov,thu,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(-0.52, -0.040000000000000036]","(92.97080000000001, 93.2274]","(-43.629999999999995, -41.239999999999995]","(3.7216999999999993, 4.1628]","(5175.200000000001, 5201.650000000001]","(-0.025, 2.5]",False
500,"(40.8, 48.4]",technician,married,Basic,no,yes,no,telephone,may,wed,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(0.9200000000000004, 1.4]","(93.74060000000001, 93.9972]","(-36.46, -34.07]","(4.603899999999999, 5.045]","(5175.200000000001, 5201.650000000001]","(-0.025, 2.5]",False
505,"(33.2, 40.8]",admin.,single,university.degree,no,yes,no,telephone,jun,wed,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(0.9200000000000004, 1.4]","(94.25380000000001, 94.5104]","(-43.629999999999995, -41.239999999999995]","(4.603899999999999, 5.045]","(5201.650000000001, 5228.1]","(-0.025, 2.5]",False
506,"(25.6, 33.2]",admin.,married,university.degree,no,yes,yes,cellular,may,mon,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(-1.96, -1.48]","(92.7142, 92.97080000000001]","(-48.41, -46.019999999999996]","(1.0751, 1.5162]","(5095.85, 5122.3]","(-0.025, 2.5]",False
511,"(40.8, 48.4]",blue-collar,married,Basic,no,no,no,cellular,apr,mon,"(0.961, 4.9]","(-0.032, 3.2]","(0.5, 1.0]",success,"(-1.96, -1.48]","(92.97080000000001, 93.2274]","(-48.41, -46.019999999999996]","(1.0751, 1.5162]","(5095.85, 5122.3]","(-0.025, 2.5]",True
526,"(17.924, 25.6]",admin.,single,high.school,no,no,no,telephone,jun,fri,"(4.9, 8.8]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(0.9200000000000004, 1.4]","(94.25380000000001, 94.5104]","(-43.629999999999995, -41.239999999999995]","(4.603899999999999, 5.045]","(5201.650000000001, 5228.1]","(-0.025, 2.5]",False
527,"(40.8, 48.4]",blue-collar,married,Basic,no,yes,no,cellular,aug,mon,"(4.9, 8.8]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(0.9200000000000004, 1.4]","(93.2274, 93.48400000000001]","(-36.46, -34.07]","(4.603899999999999, 5.045]","(5201.650000000001, 5228.1]","(-0.025, 2.5]",False
528,"(40.8, 48.4]",blue-collar,married,Basic,no,no,no,telephone,may,wed,"(4.9, 8.8]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(0.9200000000000004, 1.4]","(93.74060000000001, 93.9972]","(-36.46, -34.07]","(4.603899999999999, 5.045]","(5175.200000000001, 5201.650000000001]","(-0.025, 2.5]",False
533,"(33.2, 40.8]",technician,single,university.degree,no,no,no,telephone,jun,thu,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(0.9200000000000004, 1.4]","(94.25380000000001, 94.5104]","(-43.629999999999995, -41.239999999999995]","(4.603899999999999, 5.045]","(5201.650000000001, 5228.1]","(-0.025, 2.5]",False
534,"(33.2, 40.8]",admin.,married,university.degree,no,yes,no,cellular,aug,thu,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(0.9200000000000004, 1.4]","(93.2274, 93.48400000000001]","(-36.46, -34.07]","(4.603899999999999, 5.045]","(5201.650000000001, 5228.1]","(-0.025, 2.5]",False
537,"(48.4, 56.0]",technician,married,Basic,no,no,no,telephone,jun,fri,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(0.9200000000000004, 1.4]","(94.25380000000001, 94.5104]","(-43.629999999999995, -41.239999999999995]","(4.603899999999999, 5.045]","(5201.650000000001, 5228.1]","(-0.025, 2.5]",False
541,"(40.8, 48.4]",services,married,Basic,no,yes,no,cellular,jul,mon,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(0.9200000000000004, 1.4]","(93.74060000000001, 93.9972]","(-43.629999999999995, -41.239999999999995]","(4.603899999999999, 5.045]","(5201.650000000001, 5228.1]","(-0.025, 2.5]",False
542,"(25.6, 33.2]",technician,single,professional.course,no,yes,no,cellular,may,fri,"(4.9, 8.8]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(-1.96, -1.48]","(92.7142, 92.97080000000001]","(-48.41, -46.019999999999996]","(1.0751, 1.5162]","(5095.85, 5122.3]","(-0.025, 2.5]",False
545,"(33.2, 40.8]",blue-collar,married,Basic,no,no,no,cellular,apr,mon,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(-1.96, -1.48]","(92.97080000000001, 93.2274]","(-48.41, -46.019999999999996]","(1.0751, 1.5162]","(5095.85, 5122.3]","(-0.025, 2.5]",False
546,"(25.6, 33.2]",technician,married,professional.course,no,yes,yes,cellular,aug,mon,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(0.9200000000000004, 1.4]","(93.2274, 93.48400000000001]","(-36.46, -34.07]","(4.603899999999999, 5.045]","(5201.650000000001, 5228.1]","(-0.025, 2.5]",False
552,"(48.4, 56.0]",management,divorced,university.degree,no,yes,no,telephone,may,thu,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(0.9200000000000004, 1.4]","(93.74060000000001, 93.9972]","(-36.46, -34.07]","(4.603899999999999, 5.045]","(5175.200000000001, 5201.650000000001]","(-0.025, 2.5]",False
553,"(48.4, 56.0]",entrepreneur,married,university.degree,no,yes,no,telephone,may,thu,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(0.9200000000000004, 1.4]","(93.74060000000001, 93.9972]","(-36.46, -34.07]","(4.603899999999999, 5.045]","(5175.200000000001, 5201.650000000001]","(-0.025, 2.5]",False
558,"(48.4, 56.0]",blue-collar,divorced,Basic,no,yes,no,cellular,jul,wed,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(0.9200000000000004, 1.4]","(93.74060000000001, 93.9972]","(-43.629999999999995, -41.239999999999995]","(4.603899999999999, 5.045]","(5201.650000000001, 5228.1]","(-0.025, 2.5]",False
559,"(40.8, 48.4]",admin.,married,professional.course,no,yes,no,cellular,may,mon,"(0.961, 4.9]","(6.4, 9.600000000000001]","(1.5, 2.0]",failure,"(-1.96, -1.48]","(92.7142, 92.97080000000001]","(-48.41, -46.019999999999996]","(1.0751, 1.5162]","(5095.85, 5122.3]","(7.5, 10.0]",True
560,"(17.924, 25.6]",student,single,Basic,no,yes,no,cellular,sep,wed,"(0.961, 4.9]","(3.2, 6.4]","(2.5, 3.0]",success,"(-1.48, -1.0]","(93.9972, 94.25380000000001]","(-38.849999999999994, -36.46]","(0.629589, 1.0751]","(4963.3355, 4990.05]","(7.5, 10.0]",True
566,"(33.2, 40.8]",entrepreneur,married,professional.course,no,yes,no,telephone,may,fri,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(0.9200000000000004, 1.4]","(93.74060000000001, 93.9972]","(-36.46, -34.07]","(4.603899999999999, 5.045]","(5175.200000000001, 5201.650000000001]","(-0.025, 2.5]",False
568,"(25.6, 33.2]",admin.,married,high.school,no,yes,no,cellular,may,wed,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(-1.96, -1.48]","(92.7142, 92.97080000000001]","(-48.41, -46.019999999999996]","(1.0751, 1.5162]","(5095.85, 5122.3]","(-0.025, 2.5]",False
582,"(25.6, 33.2]",admin.,married,high.school,no,no,no,cellular,aug,tue,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(0.9200000000000004, 1.4]","(93.2274, 93.48400000000001]","(-36.46, -34.07]","(4.603899999999999, 5.045]","(5201.650000000001, 5228.1]","(-0.025, 2.5]",False
586,"(48.4, 56.0]",unemployed,married,professional.course,no,no,no,telephone,may,wed,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(0.9200000000000004, 1.4]","(93.74060000000001, 93.9972]","(-36.46, -34.07]","(4.603899999999999, 5.045]","(5175.200000000001, 5201.650000000001]","(-0.025, 2.5]",False
590,"(33.2, 40.8]",admin.,married,university.degree,no,no,no,telephone,may,mon,"(4.9, 8.8]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(0.9200000000000004, 1.4]","(93.74060000000001, 93.9972]","(-36.46, -34.07]","(4.603899999999999, 5.045]","(5175.200000000001, 5201.650000000001]","(-0.025, 2.5]",False
592,"(48.4, 56.0]",blue-collar,married,Basic,no,no,no,telephone,jun,thu,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(0.9200000000000004, 1.4]","(94.25380000000001, 94.5104]","(-43.629999999999995, -41.239999999999995]","(4.603899999999999, 5.045]","(5201.650000000001, 5228.1]","(-0.025, 2.5]",False
593,"(40.8, 48.4]",blue-collar,married,Basic,no,yes,no,cellular,jul,tue,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(0.9200000000000004, 1.4]","(93.74060000000001, 93.9972]","(-43.629999999999995, -41.239999999999995]","(4.603899999999999, 5.045]","(5201.650000000001, 5228.1]","(-0.025, 2.5]",False
596,"(25.6, 33.2]",admin.,single,university.degree,no,yes,yes,cellular,may,wed,"(4.9, 8.8]","(28.8, 32.0]","(0.5, 1.0]",failure,"(-1.96, -1.48]","(92.7142, 92.97080000000001]","(-48.41, -46.019999999999996]","(1.0751, 1.5162]","(5095.85, 5122.3]","(-0.025, 2.5]",False
600,"(40.8, 48.4]",technician,single,professional.course,no,no,no,cellular,nov,mon,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(-0.52, -0.040000000000000036]","(92.97080000000001, 93.2274]","(-43.629999999999995, -41.239999999999995]","(4.1628, 4.603899999999999]","(5175.200000000001, 5201.650000000001]","(-0.025, 2.5]",False
601,"(56.0, 63.599999999999994]",technician,married,university.degree,no,yes,no,telephone,mar,mon,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(-1.96, -1.48]","(93.2274, 93.48400000000001]","(-36.46, -34.07]","(0.629589, 1.0751]","(4990.05, 5016.5]","(-0.025, 2.5]",False
603,"(48.4, 56.0]",self-employed,single,Basic,no,yes,no,cellular,nov,thu,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(-3.4048, -2.92]","(92.45760000000001, 92.7142]","(-31.68, -29.29]","(0.629589, 1.0751]","(5016.5, 5042.950000000001]","(-0.025, 2.5]",False
605,"(17.924, 25.6]",admin.,married,high.school,no,yes,no,telephone,jul,mon,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(-1.96, -1.48]","(93.9972, 94.25380000000001]","(-41.239999999999995, -38.849999999999994]","(0.629589, 1.0751]","(4990.05, 5016.5]","(-0.025, 2.5]",False
610,"(25.6, 33.2]",admin.,single,professional.course,no,no,yes,telephone,jun,thu,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(0.9200000000000004, 1.4]","(94.25380000000001, 94.5104]","(-43.629999999999995, -41.239999999999995]","(4.603899999999999, 5.045]","(5201.650000000001, 5228.1]","(-0.025, 2.5]",False
611,"(33.2, 40.8]",management,married,university.degree,no,yes,no,telephone,may,thu,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(-1.96, -1.48]","(92.7142, 92.97080000000001]","(-48.41, -46.019999999999996]","(1.0751, 1.5162]","(5095.85, 5122.3]","(-0.025, 2.5]",False
